timestep	bcc	fcc
200	1.5958195055774255e-06	0.9999984098672867
250	5.177375688118213e-07	0.9999994893074036
50	1.1632848834511933e-05	0.9999883748292923
400	3.9246582703563597e-07	0.9999996135234833
100	8.5464670331864e-07	0.9999991538524627
450	6.01339921200969e-07	0.9999994070529937
300	2.6391502706326204e-06	0.9999973675012589
0	3.292515924901984e-10	1.0
350	3.372792594567006e-06	0.9999966336488724
150	3.3985106981641866e-07	0.9999996678829193
