timestep	bcc	fcc	amorf
44925	0.9984559369087219	2.259400731972505e-06	0.001541795350756729
41025	0.9984644241333008	2.8174649876575587e-06	0.0015327552802336867
45650	0.9985398936271668	2.500988732677456e-06	0.0014576085315038654
6825	0.1843230605276119	0.00013813907804433257	0.8155387946388218
11150	0.020242707631683742	0.001873595044038666	0.9778836985379458
37175	0.7104658762917606	6.389011196552019e-05	0.2894702392649524
22225	0.0018823740521529543	0.004880070804825664	0.9932375564575195
45675	0.9985787947177887	2.114240224344144e-06	0.0014190794999758508
43050	0.9977494220733643	2.5889718283735873e-06	0.0022479889288251798
6700	0.14647905695132477	0.0006387368552204862	0.8528822058215737
44625	0.9969593999385834	3.470044959037466e-06	0.0030371270624436875
4000	0.6153401009529625	6.86071048706367e-05	0.3845912936948516
23600	0.0005514055223505921	0.0032279636354032846	0.9962206346988678
2900	0.7091071288796775	6.400478411825361e-05	0.29082886769553806
21200	0.000287835061777173	0.003402874395229446	0.9963092887401581
22625	0.0004364511639917055	0.00907136598955185	0.9904921822547913
14725	0.0032877579845760467	0.0020743528304265056	0.9946378836631775
23975	0.0009364620871667739	0.007679694022313924	0.991383849978447
47850	0.997956591129303	2.9305817415519187e-06	0.0020404784574711812
26450	0.007788636843233348	0.00851764242009449	0.9836937208771706
21050	0.0003684292702704397	0.004548504036290978	0.9950830683708191
26150	0.007427734459187149	0.00314107513386989	0.9894311828613281
25575	0.002812845115644109	0.003900463271962508	0.993286687374115
2850	0.7190039727094263	5.0199886626870695e-05	0.2809458298581012
4300	0.4123606811887421	9.822968056164427e-05	0.5875410903425072
29125	0.020631788498253853	0.0006987747315433808	0.9786694334745407
30475	0.040880725288897794	0.0004103672482669936	0.9587089038286358
41825	0.9988792314529419	2.49355719245159e-06	0.0011182710474431587
13550	0.006779680517343707	0.0008668260438607831	0.9923534905910492
9750	0.04498493284520452	0.0005109833131755295	0.9545040788501501
48675	0.9965139319896698	3.471705982150297e-06	0.0034825894012856223
37800	0.7910818973387795	4.997689017469043e-05	0.20886812236940022
10350	0.027069835476562956	0.0006736739389862123	0.9722564876554534
44550	0.9983856077194214	2.5052091758084316e-06	0.0016118812990880541
45975	0.9986719615459442	2.7208438160357672e-06	0.0013253111730791715
8375	0.060449576373301624	0.000672554889562889	0.9388778672665358
7450	0.0980475968184827	0.00023321167825633894	0.9017191897891462
13900	0.003791559508653336	0.0023618348676573077	0.9938466054201126
