timestep	bcc	fcc	amorf
17600	0.005699370716578358	0.0025054002653444184	0.9917952299118042
3575	0.7928712311298587	2.3683983780395045e-05	0.20710508851369377
24575	0.0083727601896897	0.0012809080147866512	0.9903463313579559
44375	0.9972379281520843	1.2490297507206094e-07	0.002761951781270909
47225	0.9980497722625732	1.104881420337378e-07	0.0019501261009718291
45925	0.9953721263408661	2.1184597776668922e-07	0.004627668478846317
26250	0.013841447161498337	0.0018717695295685016	0.9842867814302444
49225	0.996755765914917	1.47165169558372e-07	0.0032440983276464976
350	0.9991897208690643	7.100676993543331e-08	0.0008102181497088168
500	0.9975253493785858	1.3793185905108806e-07	0.0024745230490225366
6625	0.30603655928224177	8.437187836702975e-05	0.6938790625445544
37325	0.8918944334145635	7.548026663209306e-06	0.10809802691143705
5625	0.4836472653167075	5.5998802811366486e-05	0.5162967376764864
29625	0.08376814318186791	0.0008046263873161177	0.9154272299110889
36650	0.728641855370719	1.4955694952188959e-05	0.271343189976993
8100	0.17327302310842788	0.00048012651802599747	0.8262468487713486
13225	0.02914965723012284	0.0013421418377654994	0.9695082003474236
37950	0.9242922069206834	5.348583192573919e-06	0.07570244810741861
26575	0.011714655382421783	0.0013072108819553315	0.9869781336784362
48950	0.997189510345459	2.1689070124919496e-07	0.0028102764376817502
35100	0.43485042923121364	6.691984112196093e-05	0.5650826485096477
15725	0.010914344385315616	0.0024173956507624926	0.9866682560443878
20850	0.0010904529406491007	0.005914078918567063	0.9929954674243927
43175	0.9975227696895599	1.7354807675218355e-07	0.0024770602054341
4750	0.5427596318828873	3.297429576066957e-05	0.4572073922317941
34400	0.4317907812909689	3.504263969049948e-05	0.5681741775502451
33525	0.29207766759651715	0.00013516197721367008	0.7077871755333617
46175	0.9969887335300446	1.430086580480605e-07	0.0030111323308810826
525	0.9966240432262421	2.787958407117763e-07	0.003375685882536345
12100	0.05800225889775015	0.000521945625882287	0.9414757950156927
40975	0.9978731942176818	1.9236272919975762e-07	0.002126631446968531
16925	0.016074879317585725	0.0015757606853978529	0.9823493575453758
32050	0.18166493081651242	0.0009405235296657679	0.8173945417329669
20025	0.0011216043768915434	0.003186356557520075	0.9956920435428619
36175	0.6186026870358037	2.070318383092751e-05	0.38137660725339084
29450	0.08228098643089925	0.0005497697740904002	0.9171692404747009
18400	0.005946804570252993	0.00430807002154734	0.9897451233863831
17000	0.01064138045761311	0.0015214436364397504	0.9878371751308441
34200	0.4691479265663129	6.501286073345991e-05	0.5307870660535992
28325	0.042750147987368106	0.0025210090835270475	0.9547288452684879
8050	0.174310296734222	0.00014610651590291825	0.8255435981452465
27450	0.04655654113015771	0.0005839420452668458	0.9528595154881477
9525	0.09294559684859667	0.00016222304694679933	0.9068921830058098
27500	0.023686371340225408	0.0013029010901808495	0.9750107215642929
35175	0.5531231786481876	3.0164860241213452e-05	0.4468466590765165
2675	0.8023747378177941	1.4390193050167533e-05	0.19761087303597014
47950	0.9965096244812012	1.0674161256729597e-07	0.0034902787030732726
39700	0.9956982207298278	2.5665619134596084e-07	0.004301532028723159
38425	0.9439590719044209	2.595079717595983e-06	0.05603833872036194
16175	0.010192266175218527	0.0015892818624774954	0.9882184519767762
1825	0.9500692523531615	4.328470029507425e-06	0.04992642419174081
33375	0.2584994309576468	7.336406755072566e-05	0.7414272005688399
10800	0.044713540891083654	0.0006297847451347849	0.9546566701754927
45225	0.9981413798332215	1.3765785823460773e-07	0.001858492583312909
27975	0.06704566065735099	0.0018750157922839002	0.9310793275237084
7100	0.2744494579074235	7.197011432102052e-05	0.725478569903411
19275	0.005712123773689456	0.000925151046747331	0.9933627271652221
2950	0.8507317187320441	1.0758518712259412e-05	0.14925753048097248
44075	0.9972431709766388	1.8303602225167027e-07	0.0027566588558838702
37300	0.8147860164418816	1.167221679199404e-05	0.1852023181784316
9800	0.14345144389017422	0.00036859794655412514	0.8561799615472555
18875	0.003735990239465224	0.0032232470760906883	0.9930407631397248
40650	0.9968014335632325	1.4958798934094907e-07	0.00319842924765544
6375	0.29835799594386664	9.277026197915817e-05	0.7015492342570797
325	0.9989561266899109	1.01733822966521e-07	0.0010437771957658697
44900	0.9981840412616729	6.840284822340336e-08	0.0018158968644274864
5275	0.5229814474477753	3.2853302252952686e-05	0.47698569943837354
48150	0.99760959815979	1.300554794663178e-07	0.0023902820996008814
15525	0.006149505862178281	0.0037201383741282063	0.9901303555965424
13200	0.030796632174918785	0.00048826220996029155	0.9687151080369949
28200	0.0269576293201485	0.0008609773335542172	0.9721813924312591
2250	0.9463754104152322	5.488077605317887e-06	0.05361910399497719
3475	0.8106299511753022	2.2313370476717332e-05	0.18934774019411998
8250	0.16239656512414513	0.0017432113592374954	0.8358602246865631
21500	0.0014201866260791344	0.004250896737368619	0.9943289159536361
2050	0.9433593339920044	5.2698708992322545e-06	0.056635400190076325
14300	0.03129947955352873	0.0004768427399611639	0.968223673850298
14800	0.007264799448162443	0.0017031033577046522	0.9910320949554443
26800	0.016404062768230913	0.0007623752409877007	0.982833559513092
