timestep	bcc	fcc	hcp	A15	dis
0	0.044959349542856214	0.942559700012207	0.006138052478112513	0.004180432232096791	0.010983435152098537
100	0.045368596211075786	0.9423586764335632	0.005872259798139567	0.0039881767146289345	0.01083653072733432
150	0.045397654622793195	0.942347309589386	0.00584898258287285	0.003963256604969502	0.010815867112018167
200	0.045361926667392256	0.9423217313289642	0.005930047775545972	0.0040317158754914996	0.010867266924120485
250	0.04492536324262619	0.9426117875576019	0.006126780829203198	0.004188782777637243	0.010976415975950659
300	0.04442747171223164	0.9429655051231385	0.006334491530637024	0.004346730509772897	0.011073828874155879
350	0.04450401506572962	0.9428692212104798	0.006370633674814599	0.004370598131790757	0.011108294100500644
400	0.04481283843517304	0.9426398464441299	0.006265452310297405	0.004296026024967432	0.011083229224197567
450	0.04488946195691824	0.9426345878839493	0.006162548089108896	0.0042194863390177485	0.011019045642577111
50	0.04541339576989412	0.9422731548547745	0.005936656095655053	0.004049794539809227	0.010891581918112934
