timestep	bcc	fcc	hcp	A15	dis
0	1.0158787989616394	-0.028281458392739295	0.003647130702622235	0.002665356684476137	0.0069168064929544925
100	1.0160118038654327	-0.028379589810967446	0.0036134986999677493	0.002644822496920824	0.0069105541445314885
150	1.0159437510967255	-0.028292551100254058	0.0035977315421914682	0.002636213310062885	0.006895959243178367
200	1.0158577370643616	-0.02820774781703949	0.0036003703847527504	0.00265213742852211	0.006899851940572262
250	1.0159233481884002	-0.028303638949990273	0.0036258277454180644	0.002653027396649122	0.00690318563580513
300	1.015868948698044	-0.028263394847512245	0.0036483815253013745	0.0026718776002526284	0.006921809963881969
350	1.015837364435196	-0.028208126723766328	0.003629364607622847	0.0026682967580854895	0.006915873415768147
400	1.015897702217102	-0.028267930194735526	0.0036209905906580387	0.002653954889625311	0.006899421487003564
450	1.01590660738945	-0.028250163242220877	0.0035903144004405477	0.002641436420381069	0.006890531461685896
50	1.0156498107910157	-0.028076395452022552	0.0037005701743182727	0.002727180689573288	0.006936207443475723
